# P(k)  H0=0.71 Om0=0.267804 Ob0=0.0444356 Ol0=0.73 Sigma8=1 n_s=1
# k  P_E+H_wOsc(k)  P_E+H_noOsc(k)  P_this_simul(k) 
       0.001       11484.6       11384.5       11484.6
       0.002       21413.5       21271.3       21413.5
       0.003       29544.9         29442       29544.9
       0.004       36054.4       36047.6       36054.4
       0.005       41181.5       41301.6       41181.5
       0.006       45144.6       45400.9       45144.6
       0.007       48124.9       48507.4       48124.9
       0.008       50269.5       50748.4       50269.5
       0.009       51698.1       52224.5       51698.1
        0.01       52510.1       53021.8       52510.1
       0.011         52791         53222         52791
       0.012       52616.6       52911.3       52616.6
       0.013       52056.6       52182.3       52056.6
       0.014       51176.8       51131.9       51176.8
       0.015       50039.3       49853.7       50039.3
       0.016       48703.1       48431.9       48703.1
       0.017       47222.7       46935.8       47222.7
       0.018       45648.1         45418       45648.1
       0.019       44022.9       43915.6       44022.9
        0.02       42384.6       42452.3       42384.6
       0.021       40763.9       41041.9       40763.9
       0.022       39184.9       39691.1       39184.9
       0.023       37665.9         38402       37665.9
       0.024       36219.7       37173.9       36219.7
       0.025       34854.4       36004.2       34854.4
       0.026       33574.9       34889.8       33574.9
       0.027       32382.7       33827.2       32382.7
       0.028       31277.6       32812.9       31277.6
       0.029       30257.5       31843.6       30257.5
        0.03       29319.3       30916.2       29319.3
       0.031         28459         30028         28459
       0.032       27672.2       29176.3       27672.2
       0.033       26953.9       28358.9       26953.9
       0.034       26298.9       27573.8       26298.9
       0.035       25701.5         26819       25701.5
       0.036       25156.2       26092.8       25156.2
       0.037       24656.8       25393.8       24656.8
       0.038       24197.5       24720.5       24197.5
       0.039         23772       24071.5         23772
        0.04       23374.2       23445.8       23374.2
       0.041       22997.8       22842.3       22997.8
       0.042       22636.9       22259.8       22636.9
       0.043       22285.7       21697.4       22285.7
       0.044       21938.7       21154.3       21938.7
       0.045       21590.9       20629.5       21590.9
       0.046       21237.9       20122.4       21237.9
       0.047       20875.9       19632.1       20875.9
       0.048       20501.8         19158       20501.8
       0.049       20113.4       18699.3       20113.4
        0.05       19709.3       18255.5       19709.3
       0.051       19288.8         17826       19288.8
       0.052       18852.2       17410.1       18852.2
       0.053       18400.6       17007.4       18400.6
       0.054       17935.7       16617.4       17935.7
       0.055       17459.9       16239.4       17459.9
       0.056         16976       15873.2         16976
       0.057       16487.4       15518.1       16487.4
       0.058       15997.6       15173.9       15997.6
       0.059       15510.1         14840       15510.1
        0.06       15028.7       14516.2       15028.7
       0.061         14557       14201.9         14557
       0.062       14098.2         13897       14098.2
       0.063       13655.3         13601       13655.3
       0.064         13231       13313.6         13231
       0.065       12827.5       13034.5       12827.5
       0.066       12446.6       12763.4       12446.6
       0.067       12089.5         12500       12089.5
       0.068       11757.2       12244.1       11757.2
       0.069       11449.8       11995.4       11449.8
        0.07       11167.4       11753.6       11167.4
       0.071       10909.5       11518.4       10909.5
